timestamp,packets_per_sec,syn_ratio,avg_size,unique_ips,unique_port
1772466328.1705608,228.2,0.00043821209465381246,417.6735319894829,31,41
1772466329.2257833,220.3,0.00045392646391284613,413.93917385383565,32,41
1772466330.2987678,214.6,0.00046598322460391424,408.01910531220875,29,38
1772466331.347924,203.9,0.0004904364884747426,360.24963217263365,28,38
1772466332.4094853,183.6,0.0005446623093681918,288.7194989106754,27,36
1772466333.4963696,180.5,0.0,270.74293628808863,28,36
1772466334.5027578,175.0,0.0,256.53257142857143,29,36
1772466335.5511098,174.8,0.0,245.16075514874143,27,37
1772466336.5958488,171.5,0.0,240.4064139941691,25,34
1772466337.650834,173.0,0.0,238.86242774566475,24,34
1772466338.7214003,171.6,0.0,230.50174825174824,21,31
1772466339.7266245,170.3,0.0,227.01820317087493,19,29
1772466340.7735703,162.6,0.0,222.92435424354244,17,27
1772466341.8120844,167.2,0.0,225.44019138755982,19,29
1772466342.8622286,160.6,0.0,220.00996264009962,19,27
1772466343.9106658,162.8,0.0,220.34766584766584,20,27
1772466344.9838357,163.5,0.0,223.2159021406728,19,24
1772466346.012994,172.8,0.0,228.37905092592592,23,28
1772466347.0423799,168.3,0.0,222.72727272727272,22,26
1772466348.0948968,166.6,0.0,225.70288115246098,22,27
1772466349.14679,167.2,0.0,223.99521531100478,26,33
1772466350.2301934,169.1,0.0,231.27143701951508,27,35
1772466351.255947,173.5,0.0,247.7521613832853,31,39
1772466352.3342552,177.3,0.0,296.1646926113931,29,38
1772466353.368097,193.1,0.0005178663904712584,321.8731227343345,35,47
1772466354.423424,187.0,0.0005347593582887701,344.1941176470588,35,49
1772466355.4897373,179.6,0.0005567928730512249,348.04732739420933,36,50
1772466356.5028522,182.0,0.0005494505494505495,370.24010989010986,36,52
1772466357.5798557,203.6,0.0004911591355599214,425.34970530451864,38,55
1772466358.6396263,229.3,0.0004361098996947231,488.3144352376799,35,49
1772466359.6883597,273.7,0.00036536353671903543,563.8001461454147,34,47
1772466360.7492435,316.0,0.00031645569620253165,631.3348101265823,32,43
1772466361.8039594,331.5,0.00030165912518853697,627.411161387632,37,49
1772466362.8535872,320.1,0.0,622.5579506404249,38,46
1772466363.8966405,321.8,0.0,617.8017402113114,35,41
1772466364.9353528,326.5,0.0,603.9353751914242,30,37
1772466365.9891818,331.7,0.0,595.6979198070545,30,37
1772466367.0406113,322.8,0.0,581.204770755886,29,34
1772466368.1258793,302.4,0.0,550.9953703703703,28,33
1772466369.1674862,271.5,0.0,502.0412523020258,28,33
1772466370.1789317,237.9,0.0,416.65279529213956,27,32
1772466371.2388287,217.2,0.0,364.292817679558,27,35
1772466372.2832038,210.6,0.0,366.0664767331434,26,35
1772466373.3654027,222.8,0.0004488330341113106,418.6283662477558,30,40
1772466374.3769462,224.6,0.0004452359750667854,412.7488869100623,30,39
1772466375.4484327,217.7,0.00045934772622875517,421.32981166743224,28,34
1772466376.5087295,215.1,0.00046490004649000463,420.87866108786613,28,34
1772466377.525494,217.5,0.0004597701149425287,420.7577011494253,28,34
1772466378.5610852,221.3,0.00045187528242205153,415.4672390420244,29,35
1772466379.6135647,220.2,0.00045413260672116256,418.72888283378745,29,36
1772466380.6621864,208.8,0.0004789272030651341,366.2068965517241,29,37
1772466381.7222412,209.5,0.00047732696897374703,318.8463007159905,23,32
1772466382.7499018,204.7,0.0,300.2496336101612,21,28
1772466383.7956183,195.1,0.0,237.46283956945157,21,29
1772466384.8690007,190.6,0.0,229.63536201469046,21,27
1772466385.9157052,197.5,0.0,217.94683544303797,23,29
1772466386.9670372,200.4,0.0,214.2315369261477,25,31
1772466387.9860525,216.2,0.0,252.2118408880666,27,32
1772466389.0717494,223.9,0.0,292.3139794551139,29,34
1772466390.0836122,228.9,0.0,293.70642201834863,28,32
1772466391.1291673,224.2,0.0,296.46520963425513,28,34
1772466392.1782577,219.6,0.0,299.62158469945354,27,33
1772466393.2268069,221.9,0.0,295.93961243803517,28,35
1772466394.2875583,224.9,0.0,295.74833259226324,30,36
1772466395.3443952,221.4,0.0,295.72177055103884,32,37
1772466396.4095237,224.5,0.0,295.0026726057906,33,38
1772466397.417671,214.3,0.0,283.4727018198787,31,35
1772466398.498723,197.5,0.0,219.7898734177215,32,36
1772466399.5453515,194.1,0.0,222.1215868109222,29,36
1772466400.5579245,193.1,0.0,223.30398757120662,28,35
1772466401.6163077,199.2,0.0,243.94628514056225,30,38
1772466402.6648862,210.8,0.0,317.2243833017078,30,38
1772466403.7043042,204.9,0.0,331.09565641776476,27,31
1772466404.78027,208.2,0.0,346.69788664745437,24,28
1772466405.8329215,200.2,0.0,358.44605394605395,22,26
1772466406.9006534,199.6,0.0,373.71693386773546,27,31
1772466407.931221,205.8,0.0,429.72254616132165,27,31
1772466408.9586995,227.4,0.0,509.09586631486366,26,29
1772466409.9997034,227.4,0.0,511.5980650835532,26,30
1772466411.0625799,217.2,0.0,509.12246777163904,23,26
1772466412.104189,231.8,0.0,566.0944779982743,25,28
1772466413.1567547,238.0,0.0,568.7084033613445,24,27
1772466414.200163,239.4,0.0,580.5530492898914,27,31
1772466415.2835658,240.9,0.0,586.1270236612702,28,32
1772466416.3042693,248.3,0.0,581.057188884414,29,33
